iata,icao,name,city,country,tz,lat,lon
GSO,KGSO,Piedmont Triad International Airport,Greensboro,US,America/New_York,36.09937,-79.937262
GSP,KGSP,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US,America/New_York,34.895699,-82.218903
GTF,KGTF,Great Falls International Airport,Great Falls,US,America/Denver,47.481998,-111.371002
GTR,KGTR,Golden Triangle Regional Airport,Columbus/W Point/Starkville,US,America/Chicago,33.450298,-88.5914
GUC,KGUC,Gunnison Crested Butte Regional Airport,Gunnison,US,America/Denver,38.534672,-106.934566
GUP,KGUP,Gallup Municipal Airport,Gallup,US,America/Denver,35.511653,-108.788166
GUS,KGUS,Grissom Air Reserve Base,Peru,US,America/Indiana/Indianapolis,40.648102,-86.1521
GUY,KGUY,Guymon Municipal Airport,Guymon,US,America/Chicago,36.6851005554,-101.508003235
GWO,KGWO,Greenwood–Leflore Airport,Greenwood,US,America/Chicago,33.495025,-90.088204
PNX,KGYI,North Texas Regional Airport Perrin Field,Denison,US,America/Chicago,33.7141,-96.673698
GYY,KGYY,Gary/Chicago International Airport,Gary,US,America/Chicago,41.617087,-87.413206
DSY,KH-0001,Dara Sakor International Airport,Ta Noun,KH,,10.914244,103.226652
KTI,KH-0002,Techo International Airport,Phnom Penh (Boeng Khyang),KH,Asia/Phnom_Penh,11.359987,104.921272
